,dcID,RID
721,34013007900d1,605895
722,34013009500d0,791802
723,34013007000d0,791769
724,34013003100d1,1226225
725,34013001100d0,605284
726,34013003500d0,602867
727,34013000900d1,321729
728,34013001700d0,602877
729,34013001600d0,607801
730,34013001400d1,327627
731,34013022900d2,324968
732,34013002100d0,918102
733,34013022800d0,917861
734,34013001800d1,919622
735,34013005300d0,603883
736,34013006200d2,607189
737,34013003500d1,751090
738,34013002800d0,327631
739,34013003900d0,751040
740,34013004700d0,791875
741,34013022700d0,605969
742,34013002100d1,918078
743,34013002800d1,327638
744,34013007502d0,607678
745,34013004801d0,1279108
746,34013007502d1,322411
747,34013004600d0,791774
748,34013007900d2,605895
749,34013007200d0,1094662
750,34013007800d0,1276651
751,34013000300d0,750834
752,34013007900d3,606718
753,34013003500d2,751087
754,34013000100d0,605786
755,34013006700d0,608403
756,34013006200d3,35931
757,34013008900d0,751177
758,34013000900d2,1094743
759,34013008700d0,605949
760,34013009100d0,802350
761,34013009200d0,605917
762,34013008700d1,605946
763,34013002300d0,608589
764,34013004200d0,605720
765,34013004700d1,604935
766,34013009500d1,605852
767,34013022900d3,169186
768,34013022800d1,35628
769,34013005400d1,607929
770,34013001800d2,328686
771,34013002500d1,323341
772,34013005400d2,604348
773,34013009500d2,607284
774,34013006200d4,608326
775,34013008700d2,605930
776,34013023000d1,750531
777,34013008200d0,324748
778,34013008200d1,606587
779,34013001000d0,751186
780,34013008200d2,606587
781,34013001800d3,608271
782,34013004500d1,605730
783,34013001400d2,325752
784,34013000100d1,751399
785,34013008100d2,328158
786,34013008000d2,326182
787,34013005400d3,791861
788,34013023200d0,608422
789,34013000900d3,1094743
790,34013006600d1,325643
791,34013022700d1,743827
792,34013007400d0,1037064
793,34013008200d3,35541
794,34013001500d1,169563
795,34013001000d1,33807
796,34013000700d1,329164
797,34013009400d0,323864
798,34013001800d4,919602
799,34013007700d0,605893
800,34013009700d1,607284
801,34013004500d2,750067
802,34013001700d1,1291377
803,34013000700d2,751225
804,34013006800d1,604138
805,34013000100d2,1227152
806,34013008700d3,791818
807,34013002000d0,918092
808,34013004600d1,750761
809,34013022900d4,34886
810,34013005700d0,750622
811,34013002600d0,750123
812,34013022800d2,1226225
813,34013006200d5,326661
814,34013007300d0,322853
815,34013009700d2,326813
816,34013022900d5,603259
817,34013004700d2,751364
818,34013022800d3,1227066
819,34013001600d1,328968
820,34013003800d1,608290
821,34013008200d4,324957
822,34013007000d1,751076
823,34013022900d6,324962
824,34013022700d2,751013
825,34013009700d3,791881
826,34013007300d1,606344
827,34013004802d1,603109
828,34013001000d2,606671
829,34013001100d1,605283
830,34013002000d1,1092936
831,34013008700d4,743865
832,34013000400d0,607832
833,34013000400d1,607832
834,34013000400d2,607832
835,34013006800d2,604135
836,34013006800d3,604134
837,34013008100d3,1094486
838,34013006900d0,791813
839,34013002100d2,328256
840,34013002400d1,918064
841,34013023000d2,322579
842,34013008100d4,324193
843,34013001600d2,607801
844,34013007501d1,919852
845,34013008100d5,1226557
846,34013022700d3,555063
847,34013004700d3,791795
848,34013009700d4,35569
849,34013004100d0,33706
850,34013002600d1,607213
851,34013022800d4,326990
852,34013008100d6,326996
853,34013004200d1,750644
854,34013004500d3,327550
855,34013022900d7,918859
856,34013005200d1,35235
857,34013006700d1,605970
858,34013009400d1,1226727
859,34013009500d3,1094747
860,34013003700d0,750526
861,34013007501d2,35452
862,34013003500d3,603946
863,34013001800d5,791663
864,34013005000d2,750648
865,34013002201d0,33642
866,34013002100d3,918088
867,34013002800d2,603950
868,34013003700d1,750961
869,34013000900d4,750275
870,34013001500d2,1279220
871,34013002100d4,325243
872,34013002400d2,322212
873,34013002100d5,328252
874,34013001900d1,328679
875,34013002400d3,918068
876,34013002201d1,329148
877,34013002100d6,918088
878,34013002100d7,328254
879,34013000900d5,605914
880,34013005400d4,791858
881,34013022900d8,328160
882,34013002300d1,606209
883,34013012500d0,326339
884,34013001100d2,605085
885,34013005100d0,607931
886,34013002400d4,918062
887,34013021602d0,603349
888,34013013900d0,750712
889,34013013400d0,168957
890,34013013700d0,751060
891,34013013400d1,750751
892,34013013900d1,608117
893,34013013600d0,169125
894,34013013600d1,607152
895,34013013400d2,604728
896,34013013500d0,323600
897,34013013400d3,169394
898,34013013700d1,329340
899,34013013500d1,606296
900,34013018400d0,603120
901,34013018400d1,603118
902,34013018600d0,328264
903,34013018300d0,323904
904,34013018300d1,604233
905,34013018600d1,606630
906,34013018700d0,606946
907,34013018700d1,323910
908,34013018100d0,606592
909,34013018900d0,328974
910,34013018800d0,608109
911,34013018600d2,325835
912,34013018200d0,604055
913,34013018300d2,607840
914,34013018300d3,607839
915,34013020902d0,604441
916,34013020902d1,323750
917,34013020902d2,750727
918,34013020902d3,329130
919,34013020902d4,607527
920,34013020902d5,35324
921,34013020100d0,327809
922,34013020100d1,604251
923,34013020100d2,919039
924,34013020300d4,325919
925,34013020100d3,604258
926,34013019300d0,607954
927,34013019100d0,608521
928,34013019000d0,919380
929,34013019100d1,328833
930,34013019200d0,168890
931,34013019300d1,607986
932,34013019200d1,606850
933,34013019300d2,169178
934,34013019100d2,608051
935,34013019100d3,603363
936,34013019200d2,603352
937,34013019200d3,918129
938,34013019100d4,607863
939,34013019100d5,751405
940,34013019300d3,324091
941,34013019200d4,603355
942,34013016200d2,750942
943,34013016200d3,325553
944,34013016100d2,321449
945,34013016300d0,750750
946,34013016300d1,602709
947,34013016300d2,604854
948,34013016100d3,605658
949,34013021200d0,321937
950,34013021000d0,329186
951,34013021000d1,605575
952,34013021000d2,604987
953,34013021000d3,329185
954,34013021200d1,36080
955,34013021000d4,323708
956,34013021100d0,35381
957,34013021100d1,35381
958,34013021200d2,321936
959,34013021100d2,323215
960,34013021200d3,36080
961,34013021000d5,322571
962,34013021802d0,605536
963,34013021803d0,1093668
964,34013021701d1,1226598
965,34013021801d0,169123
966,34013021701d2,1093406
